Index       TIME          {V(VOUT)+1.0}      {V(IN)+1.0}          V(1)       
228      4.50465053e-06    5.06601821e+00    2.35999499e+00    3.49474042e-01
229      4.50471538e-06    5.15038296e+00    2.31628555e+00    2.84622162e-01
230      4.50478023e-06    5.22129002e+00    2.26902014e+00    2.19770283e-01
231      4.50484508e-06    5.28132234e+00    2.21900741e+00    1.54918403e-01
232      4.50490993e-06    5.33236243e+00    2.16699885e+00    9.00665241e-02
233      4.50497479e-06    5.37601156e+00    2.11350777e+00    2.52146447e-02
234      4.50500000e-06    5.39123682e+00    2.09242645e+00    4.79616347e-14
235      4.50501297e-06    5.39869385e+00    2.08168537e+00    0.00000000e+00
236      4.50502464e-06    5.40530648e+00    2.07215691e+00    0.00000000e+00
237      4.50504799e-06    5.41835284e+00    2.05339922e+00    0.00000000e+00
238      4.50509468e-06    5.44328275e+00    2.01709003e+00    0.00000000e+00
239      4.50518807e-06    5.48792818e+00    1.94781818e+00    0.00000000e+00
240      4.50528146e-06    5.52580270e+00    1.88227054e+00    0.00000000e+00
241      4.50537484e-06    5.55793728e+00    1.82041700e+00    0.00000000e+00
242      4.50556162e-06    5.60900608e+00    1.70745716e+00    0.00000000e+00
243      4.50574839e-06    5.64669084e+00    1.60829463e+00    0.00000000e+00
244      4.50593516e-06    5.67525712e+00    1.52193671e+00    0.00000000e+00
245      4.50612194e-06    5.69742757e+00    1.44717515e+00    0.00000000e+00
246      4.50630871e-06    5.71497907e+00    1.38269732e+00    0.00000000e+00
247      4.50668226e-06    5.74073328e+00    1.27915121e+00    0.00000000e+00
248      4.50705580e-06    5.75787089e+00    1.20316637e+00    0.00000000e+00
249      4.50742935e-06    5.76965583e+00    1.14767994e+00    0.00000000e+00
250      4.50780290e-06    5.77788459e+00    1.10724932e+00    0.00000000e+00
251      4.50854999e-06    5.78802248e+00    1.05551034e+00    0.00000000e+00
252      4.51004418e-06    5.79614337e+00    1.01229205e+00    0.00000000e+00
253      4.51303255e-06    5.79867261e+00    9.98508365e-01    0.00000000e+00
254      4.51567837e-06    5.79838573e+00    1.00009031e+00    0.00000000e+00
255      4.51832420e-06    5.79840107e+00    9.99995505e-01    0.00000000e+00
256      4.52097002e-06    5.79840198e+00    9.99999188e-01    0.00000000e+00
257      4.52626166e-06    5.79840032e+00    1.00000105e+00    0.00000000e+00
258      4.53684494e-06    5.79840192e+00    9.99998893e-01    0.00000000e+00
259      4.55801151e-06    5.79840036e+00    1.00000113e+00    0.00000000e+00
260      4.60034464e-06    5.79840190e+00    9.99998860e-01    0.00000000e+00
261      4.68501090e-06    5.79840037e+00    1.00000114e+00    0.00000000e+00
262      4.85434342e-06    5.79840189e+00    9.99998854e-01    0.00000000e+00
263      5.15434342e-06    5.79840038e+00    1.00000115e+00    0.00000000e+00
264      5.45434342e-06    5.79840189e+00    9.99998851e-01    0.00000000e+00
265      5.75434342e-06    5.79840038e+00    1.00000115e+00    0.00000000e+00
266      6.00000000e-06    5.79840189e+00    9.99998848e-01    0.00000000e+00
End of Xyce(TM) Simulation
